,Indicator ID,Name,Measure,Measure Info,Geo Type Name,Geo Join ID,Geo Place Name,Time Period,year,month,day,Data Value
4716,386,Ozone (O3),Mean,ppb,CD,202.0,Hunts Point and Longwood (CD2),Summer 2018,2018,6,1,30.7
1199,375,Nitrogen dioxide (NO2),Mean,ppb,CD,501.0,St. George and Stapleton (CD1),Annual Average 2017,2017,1,1,16.4
16959,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,210.0,Coney Island - Sheepshead Bay,Winter 2008-09,2008,12,1,11.1
9139,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,"per 100,000",UHF42,303.0,East Harlem,2015-2017,2015,1,1,5.2
2635,643,Annual vehicle miles traveled,Million miles,per square mile,UHF42,106.0,High Bridge - Morrisania,2019,2019,1,1,81.6
12859,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,207.0,East Flatbush - Flatbush,Annual Average 2021,2021,1,1,6.4
7354,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,210.0,Coney Island - Sheepshead Bay,Annual Average 2016,2015,12,31,15.6
10857,386,Ozone (O3),Mean,ppb,CD,405.0,Ridgewood and Maspeth (CD5),2-Year Summer Average 2009-2010,2009,6,1,28.2
14820,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,315.0,Sheepshead Bay (CD15),Winter 2013-14,2013,12,1,11.0
10254,651,Cardiovascular hospitalizations due to PM2.5 (age 40+),Estimated annual rate,"per 100,000 adults",UHF42,303.0,East Harlem,2017-2019,2017,1,1,14.0
17737,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,402.0,West Queens,Annual Average 2022,2022,1,1,6.2
10363,653,Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,104.0,Pelham - Throgs Neck,2017-2019,2017,1,1,111.0
5723,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,208.0,Canarsie - Flatlands,Summer 2017,2017,6,1,8.5
1560,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,302.0,Central Harlem - Morningside Heights,Annual Average 2009,2008,12,1,31.1
14597,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,305.0,Upper East Side,Winter 2008-09,2008,12,1,15.3
12725,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,305307.0,Upper East Side-Gramercy,Annual Average 2017,2017,1,1,9.5
14389,642,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,106.0,High Bridge - Morrisania,2013,2013,1,1,78.0
15191,386,Ozone (O3),Mean,ppb,UHF34,203.0,Bedford Stuyvesant - Crown Heights,Summer 2019,2019,6,1,30.5
2277,386,Ozone (O3),Mean,ppb,UHF42,204.0,East New York,Summer 2015,2015,6,1,32.6
515,375,Nitrogen dioxide (NO2),Mean,ppb,CD,403.0,Jackson Heights (CD3),Winter 2018-19,2018,12,1,23.3
4225,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,204.0,Highbridge and Concourse (CD4),Summer 2014,2014,6,1,9.4
4945,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,307.0,Gramercy Park - Murray Hill,Winter 2010-11,2010,12,1,16.2
8246,386,Ozone (O3),Mean,ppb,CD,307.0,Sunset Park (CD7),Summer 2022,2022,6,1,33.5
2057,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,304.0,Upper West Side,Annual Average 2010,2009,12,1,11.0
550,375,Nitrogen dioxide (NO2),Mean,ppb,CD,413.0,Queens Village (CD13),Winter 2019-20,2019,12,1,20.2
2073,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,207.0,Kingsbridge Heights and Bedford (CD7),Winter 2008-09,2008,12,1,15.0
